customer_id,tenure_months,monthly_spend,support_tickets,logins_30d,nps,contract_type,plan,region,churn
C001,2,89,5,3,12,monthly,pro,north,1
C002,4,69,4,5,18,monthly,basic,west,1
C003,7,109,6,2,5,monthly,pro,east,1
C004,3,49,3,4,20,monthly,basic,south,1
C005,11,119,5,6,22,monthly,premium,north,1
C006,6,79,4,7,26,monthly,pro,west,1
C007,14,99,7,3,8,monthly,pro,south,1
C008,9,59,3,8,30,monthly,basic,east,1
C009,18,129,5,5,16,annual,premium,north,1
C010,5,39,4,2,10,monthly,basic,west,1
C011,12,89,3,9,32,monthly,pro,east,1
C012,8,109,6,4,14,monthly,premium,south,1
C013,20,79,4,8,28,annual,pro,north,1
C014,16,69,5,6,24,monthly,basic,west,1
C015,10,99,4,7,19,monthly,pro,east,1
C016,22,119,6,5,11,annual,premium,south,1
C017,1,59,3,3,17,monthly,basic,north,1
C018,13,89,5,6,21,monthly,pro,west,1
C019,28,129,4,8,29,annual,premium,east,1
C020,6,49,5,4,13,monthly,basic,south,1
C021,30,59,1,20,64,annual,basic,north,0
C022,42,89,0,24,72,annual,pro,west,0
C023,36,109,1,18,68,annual,premium,east,0
C024,25,69,2,17,55,monthly,basic,south,0
C025,48,119,0,27,81,annual,premium,north,0
C026,33,79,1,21,74,annual,pro,west,0
C027,54,99,0,29,88,annual,pro,south,0
C028,21,49,2,15,51,monthly,basic,east,0
C029,39,129,1,23,77,annual,premium,north,0
C030,27,39,1,19,63,annual,basic,west,0
C031,45,89,0,31,84,annual,pro,east,0
C032,31,109,1,22,71,annual,premium,south,0
C033,60,79,0,28,90,annual,pro,north,0
C034,24,69,2,16,58,monthly,basic,west,0
C035,38,99,1,25,76,annual,pro,east,0
C036,50,119,0,30,86,annual,premium,south,0
C037,19,59,2,14,49,monthly,basic,north,0
C038,34,89,1,20,70,annual,pro,west,0
C039,57,129,0,32,92,annual,premium,east,0
C040,29,49,1,18,61,annual,basic,south,0
