customer_id,orders,spend,avg_basket,discount_share,days_since_order
P001,22,2640,120,0.08,8
P002,19,2318,122,0.11,12
P003,25,3125,125,0.06,5
P004,17,2074,122,0.09,18
P005,23,2898,126,0.05,9
P006,20,2460,123,0.10,14
P007,18,2160,120,0.07,21
P008,26,3302,127,0.04,6
P009,21,2562,122,0.08,11
P010,24,3024,126,0.06,7
P011,14,840,60,0.18,24
P012,12,756,63,0.22,31
P013,16,992,62,0.15,18
P014,13,806,62,0.20,27
P015,15,945,63,0.17,22
P016,11,682,62,0.24,35
P017,17,1071,63,0.16,16
P018,14,854,61,0.21,29
P019,12,720,60,0.19,33
P020,16,1008,63,0.14,20
P021,4,196,49,0.32,42
P022,3,141,47,0.38,55
P023,5,260,52,0.29,36
P024,2,92,46,0.41,68
P025,6,318,53,0.27,30
P026,4,188,47,0.35,49
P027,3,150,50,0.33,61
P028,5,255,51,0.30,39
P029,2,88,44,0.44,74
P030,6,306,51,0.28,34
P031,7,392,56,0.36,132
P032,5,270,54,0.42,168
P033,9,513,57,0.31,118
P034,4,208,52,0.46,201
P035,8,448,56,0.34,145
P036,6,324,54,0.39,176
P037,10,590,59,0.28,109
P038,5,265,53,0.43,188
P039,7,385,55,0.37,154
P040,4,204,51,0.45,220
