machine_id,machine_type,air_temperature,process_temperature,rotational_speed,torque,tool_wear,failure
M001,L,298.1,308.6,1551,42.8,0,0
M002,M,298.2,308.7,1408,46.3,3,0
M003,L,298.1,308.5,1498,49.4,5,0
M004,L,298.2,308.6,1433,39.5,7,0
M005,M,298.2,308.7,1408,40.0,9,0
M006,L,298.1,308.6,1425,41.9,11,0
M007,H,298.1,308.6,1558,42.4,14,0
M008,L,298.1,308.6,1527,40.2,16,0
M009,M,298.3,308.7,1667,28.6,18,0
M010,L,298.5,309.0,1741,28.0,21,0
M011,H,298.4,308.9,1782,23.9,24,0
M012,L,298.6,309.1,1423,44.3,29,0
M013,M,298.6,309.1,1339,51.1,34,0
M014,L,298.5,309.2,1742,30.0,37,0
M015,L,298.4,309.2,2035,19.6,40,0
M016,M,298.6,309.2,1542,36.6,44,0
M017,H,298.6,309.2,1311,57.5,47,0
M018,L,298.7,309.3,1410,45.9,50,0
M019,M,298.8,309.4,1306,55.4,54,0
M020,L,298.9,309.5,1632,32.5,58,0
M021,L,299.0,309.6,1375,54.8,63,0
M022,H,299.1,309.7,1450,43.1,66,0
M023,M,299.2,309.8,1491,38.7,70,0
M024,L,299.0,309.7,1589,34.4,73,0
M025,L,299.3,309.9,1448,46.5,78,0
M026,M,299.4,310.0,1368,53.7,82,0
M027,H,299.4,310.1,1572,34.9,86,0
M028,L,299.5,310.1,1402,48.2,91,0
M029,M,299.6,310.2,1514,39.6,96,0
M030,L,299.7,310.3,1470,44.1,101,0
M031,L,299.8,310.4,1350,58.4,108,1
M032,M,299.9,310.5,1285,64.8,114,1
M033,H,300.0,310.7,1418,52.7,121,0
M034,L,300.1,310.8,1228,69.5,129,1
M035,M,300.2,310.9,1394,55.9,136,1
M036,L,300.3,311.0,1510,41.4,144,0
M037,H,300.4,311.1,1302,63.1,151,1
M038,L,300.5,311.2,1451,49.8,159,0
M039,M,300.6,311.3,1261,70.2,166,1
M040,L,300.7,311.4,1378,59.6,174,1
M041,L,300.8,311.5,1530,43.8,181,0
M042,H,300.9,311.6,1320,66.4,189,1
M043,M,301.0,311.7,1426,54.2,196,1
M044,L,301.1,311.8,1244,74.3,204,1
M045,M,301.2,311.9,1359,62.0,211,1
M046,L,301.3,312.0,1488,47.1,219,0
M047,H,301.4,312.1,1290,71.7,226,1
M048,L,301.5,312.2,1391,60.8,234,1
M049,M,301.6,312.3,1217,78.6,241,1
M050,L,301.7,312.4,1338,67.5,249,1
M051,L,,309.0,1592,35.2,32,0
M052,M,298.9,,1463,47.5,88,0
M053,H,299.5,310.0,,51.2,119,0
M054,L,300.2,310.8,1384,,155,1
M055,M,300.8,311.3,1316,64.1,,1
M056,L,,311.7,1288,72.4,207,1
M057,H,301.4,,1438,50.3,184,0
M058,L,299.8,310.4,,61.9,173,1
M059,M,300.5,311.1,1347,,198,1
M060,L,298.7,309.3,1519,39.4,,0
