customer_id,split,region,acquisition_channel,membership_tier,tenure_months,orders,spend,avg_basket,discount_share,return_rate,support_tickets,days_since_order,email_engagement,satisfaction_score,lifetime_value,category_affinities,recent_timeline,profile_summary,lifecycle_stage,price_sensitivity,purchase_cadence,churn_risk,next_best_action,evidence
C-00001,train,Western Australia,search,none,14,13,1123.49,86.42,0.217,0.127,1,39,0.534,8.5,1415.6,apparel|jackets|hydration,2026-05-22~$98~apparel+hydration~discount:0.16~returned:0|2026-04-17~$93~apparel~discount:0.18~returned:0|2026-03-17~$95~hydration+apparel~discount:0.17~returned:0|2026-02-14~$95~apparel+jackets~discount:0.23~returned:0|2026-01-12~$75~apparel+packs~discount:0.15~returned:0|2025-12-10~$94~footwear+apparel~discount:0.25~returned:1,active frequent shopper; strongest interest in apparel; medium price sensitivity; low churn risk,active,medium,frequent,low,Free shipping threshold reminder,days_since_order:39|orders:13|discount_share:0.217|return_rate:0.127|top_category:apparel
C-00002,train,New South Wales,paid-social,gold,33,29,5075.08,175,0.18,0.036,2,6,0.856,10,7358.87,footwear|hydration|apparel,2026-06-23~$166~jackets+footwear+recovery~discount:0.16~returned:0|2026-05-30~$133~recovery+apparel~discount:0.09~returned:0|2026-05-04~$211~footwear~discount:0.22~returned:1|2026-04-07~$134~footwear+jackets~discount:0.09~returned:0|2026-03-15~$256~footwear+hydration~discount:0.11~returned:0|2026-02-18~$138~jackets+footwear~discount:0.26~returned:0,loyal frequent shopper; strongest interest in footwear; medium price sensitivity; low churn risk,loyal,medium,frequent,low,Early access and premium bundle,days_since_order:6|orders:29|discount_share:0.18|return_rate:0.036|top_category:footwear
C-00003,train,New South Wales,referral,gold,31,17,2364.76,139.1,0.111,0.028,2,21,0.607,7.8,3381.61,jackets|apparel|camp,2026-06-08~$115~recovery+jackets~discount:0.08~returned:0|2026-04-26~$102~jackets~discount:0.04~returned:0|2026-03-13~$130~jackets~discount:0.11~returned:0|2026-02-01~$125~jackets~discount:0.17~returned:0|2025-12-20~$124~jackets~discount:0.14~returned:0|2025-11-07~$107~footwear+jackets~discount:0.11~returned:0,active regular shopper; strongest interest in jackets; low price sensitivity; low churn risk,active,low,regular,low,Loyalty upgrade with category cross-sell,days_since_order:21|orders:17|discount_share:0.111|return_rate:0.028|top_category:jackets
C-00004,train,South Australia,referral,none,29,9,760.81,84.53,0.083,0.053,1,25,0.45,6.8,1072.74,packs|jackets|recovery,2026-06-04~$83~jackets+recovery~discount:0.04~returned:0|2026-03-08~$78~jackets~discount:0.06~returned:0|2025-12-17~$77~packs+hydration+camp~discount:0.06~returned:0|2025-09-23~$90~jackets~discount:0.14~returned:0|2025-07-02~$91~packs~discount:0.18~returned:0|2025-04-06~$78~packs~discount:0.08~returned:0,active occasional shopper; strongest interest in packs; low price sensitivity; low churn risk,active,low,occasional,low,Free shipping threshold reminder,days_since_order:25|orders:9|discount_share:0.083|return_rate:0.053|top_category:packs
C-00005,train,Queensland,paid-social,bronze,31,5,404.21,80.84,0.405,0.157,1,142,0.244,6.2,578.02,jackets|footwear,2026-02-06~$76~jackets~discount:0.46~returned:0|2025-09-17~$64~footwear~discount:0.41~returned:0|2025-05-05~$91~jackets~discount:0.43~returned:1|2024-12-08~$90~jackets~discount:0.39~returned:1|2024-07-29~$82~jackets~discount:0.43~returned:0,at-risk occasional shopper; strongest interest in jackets; high price sensitivity; high churn risk,at-risk,high,occasional,high,Win-back offer with service recovery,days_since_order:142|orders:5|discount_share:0.405|return_rate:0.157|top_category:jackets
C-00006,train,Tasmania,search,none,7,4,234.5,58.63,0.132,0.123,2,13,0.64,8.3,279.06,accessories,2026-06-15~$56~accessories~discount:0.07~returned:0|2026-04-09~$72~accessories~discount:0.21~returned:0|2026-02-02~$60~accessories~discount:0.11~returned:0|2025-12-01~$47~accessories~discount:0.15~returned:1,active regular shopper; strongest interest in accessories; medium price sensitivity; low churn risk,active,medium,regular,low,Second-purchase education sequence,days_since_order:13|orders:4|discount_share:0.132|return_rate:0.123|top_category:accessories
C-00007,train,Tasmania,retail-store,none,2,4,258.87,64.72,0.36,0.107,2,23,0.495,7.5,295.11,jackets|packs,2026-06-06~$59~jackets~discount:0.31~returned:0|2026-05-18~$36~jackets~discount:0.27~returned:1|2026-05-10~$81~packs~discount:0.35~returned:0|2026-04-27~$83~jackets~discount:0.35~returned:0,new frequent shopper; strongest interest in jackets; high price sensitivity; low churn risk,new,high,frequent,low,Second-purchase education sequence,days_since_order:23|orders:4|discount_share:0.36|return_rate:0.107|top_category:jackets
C-00008,train,Queensland,organic,bronze,25,6,423.33,70.56,0.35,0.171,2,111,0.222,5.9,579.96,camp|packs|hydration,2026-03-10~$64~camp+hydration~discount:0.32~returned:0|2025-11-09~$65~camp~discount:0.42~returned:0|2025-07-16~$70~camp~discount:0.29~returned:0|2025-03-17~$75~camp~discount:0.26~returned:0|2024-11-20~$71~packs~discount:0.42~returned:0|2024-07-25~$78~packs~discount:0.32~returned:0,at-risk occasional shopper; strongest interest in camp; high price sensitivity; high churn risk,at-risk,high,occasional,high,Win-back offer with service recovery,days_since_order:111|orders:6|discount_share:0.35|return_rate:0.171|top_category:camp
C-00009,validation,Tasmania,referral,none,2,5,349.21,69.84,0.343,0.059,1,17,0.548,9.7,398.1,jackets|apparel,2026-06-12~$62~jackets~discount:0.34~returned:0|2026-05-30~$67~jackets+apparel~discount:0.33~returned:1|2026-05-22~$69~jackets~discount:0.35~returned:1|2026-05-08~$84~jackets~discount:0.3~returned:0|2026-04-27~$67~jackets~discount:0.28~returned:0,new frequent shopper; strongest interest in jackets; high price sensitivity; low churn risk,new,high,frequent,low,Second-purchase education sequence,days_since_order:17|orders:5|discount_share:0.343|return_rate:0.059|top_category:jackets
C-00010,test,Western Australia,search,bronze,28,10,792.91,79.29,0.251,0.095,2,35,0.642,8.3,1110.07,hydration|accessories|packs,2026-05-26~$89~hydration+recovery~discount:0.38~returned:0|2026-03-13~$72~packs+hydration+accessories~discount:0.22~returned:0|2025-12-29~$103~hydration+camp~discount:0.24~returned:0|2025-10-14~$47~jackets~discount:0.2~returned:0|2025-08-01~$100~hydration~discount:0.18~returned:0|2025-05-20~$79~hydration+packs~discount:0.28~returned:0,active regular shopper; strongest interest in hydration; medium price sensitivity; low churn risk,active,medium,regular,low,Free shipping threshold reminder,days_since_order:35|orders:10|discount_share:0.251|return_rate:0.095|top_category:hydration
C-00011,train,Western Australia,retail-store,none,19,2,126.54,63.27,0.242,0.039,2,21,0.599,7.4,165.77,recovery|camp,2026-06-08~$61~camp~discount:0.32~returned:0|2024-12-07~$66~recovery~discount:0.27~returned:0,new occasional shopper; strongest interest in recovery; medium price sensitivity; low churn risk,new,medium,occasional,low,Second-purchase education sequence,days_since_order:21|orders:2|discount_share:0.242|return_rate:0.039|top_category:recovery
C-00012,train,South Australia,paid-social,none,32,17,1367.75,80.46,0.184,0.113,2,25,0.593,6.7,1969.56,accessories|camp|packs,2026-05-28~$91~packs+camp~discount:0.22~returned:1|2026-04-22~$74~apparel+camp+accessories~discount:0.18~returned:0|2026-03-09~$68~accessories~discount:0.2~returned:0|2026-01-28~$65~accessories~discount:0.2~returned:0|2025-12-16~$32~accessories~discount:0.23~returned:1|2025-11-02~$78~footwear~discount:0.14~returned:0,active regular shopper; strongest interest in accessories; medium price sensitivity; low churn risk,active,medium,regular,low,Free shipping threshold reminder,days_since_order:25|orders:17|discount_share:0.184|return_rate:0.113|top_category:accessories
C-00013,train,Tasmania,paid-social,none,25,13,1042.97,80.23,0.17,0.085,0,37,0.407,8.3,1428.87,camp|accessories|jackets,2026-05-20~$82~camp~discount:0.14~returned:0|2026-03-29~$83~apparel+camp~discount:0.2~returned:0|2026-01-29~$77~accessories+camp~discount:0.26~returned:0|2025-12-07~$76~camp~discount:0.14~returned:1|2025-10-09~$88~accessories~discount:0.17~returned:0|2025-08-19~$102~camp~discount:0.19~returned:0,active regular shopper; strongest interest in camp; medium price sensitivity; low churn risk,active,medium,regular,low,Free shipping threshold reminder,days_since_order:37|orders:13|discount_share:0.17|return_rate:0.085|top_category:camp
C-00014,train,Western Australia,retail-store,none,16,11,847.94,77.09,0.132,0.089,4,31,0.611,7.9,1085.36,hydration|accessories|packs,2026-05-27~$72~jackets+hydration~discount:0.08~returned:0|2026-04-15~$95~hydration~discount:0.25~returned:1|2026-02-21~$72~hydration+jackets~discount:0.21~returned:0|2026-01-12~$53~hydration~discount:0.17~returned:0|2025-11-29~$105~packs+accessories~discount:0.12~returned:0|2025-10-12~$87~hydration~discount:0.08~returned:0,active regular shopper; strongest interest in hydration; medium price sensitivity; low churn risk,active,medium,regular,low,Free shipping threshold reminder,days_since_order:31|orders:11|discount_share:0.132|return_rate:0.089|top_category:hydration
C-00015,train,South Australia,retail-store,none,3,7,466.86,66.69,0.324,0.044,2,21,0.647,7.5,536.89,accessories|footwear|apparel,2026-06-09~$48~accessories+camp~discount:0.3~returned:0|2026-05-24~$78~accessories~discount:0.33~returned:0|2026-05-17~$72~accessories~discount:0.25~returned:0|2026-05-03~$53~accessories~discount:0.29~returned:0|2026-04-22~$56~accessories~discount:0.32~returned:0|2026-04-12~$68~apparel+footwear~discount:0.3~returned:0,new frequent shopper; strongest interest in accessories; high price sensitivity; low churn risk,new,high,frequent,low,Second-purchase education sequence,days_since_order:21|orders:7|discount_share:0.324|return_rate:0.044|top_category:accessories
C-00016,train,Tasmania,organic,silver,2,4,230.48,57.62,0.157,0.16,1,19,0.775,8.7,262.75,packs|accessories,2026-06-09~$58~packs~discount:0.13~returned:0|2026-05-24~$56~accessories~discount:0.14~returned:0|2026-05-12~$71~packs~discount:0.15~returned:0|2026-04-28~$45~packs~discount:0.17~returned:0,new frequent shopper; strongest interest in packs; medium price sensitivity; low churn risk,new,medium,frequent,low,Second-purchase education sequence,days_since_order:19|orders:4|discount_share:0.157|return_rate:0.16|top_category:packs
C-00017,train,New South Wales,retail-store,none,23,12,1002.25,83.52,0.135,0.037,1,30,0.47,6.6,1353.04,footwear|apparel|hydration,2026-05-30~$41~footwear~discount:0.23~returned:0|2026-03-23~$72~apparel~discount:0.1~returned:0|2026-01-27~$74~packs~discount:0.1~returned:0|2025-11-29~$120~footwear~discount:0.17~returned:0|2025-09-29~$78~hydration~discount:0.03~returned:0|2025-08-01~$87~footwear~discount:0.16~returned:0,active regular shopper; strongest interest in footwear; medium price sensitivity; low churn risk,active,medium,regular,low,Free shipping threshold reminder,days_since_order:30|orders:12|discount_share:0.135|return_rate:0.037|top_category:footwear
C-00018,train,Western Australia,referral,silver,30,6,436.36,72.73,0.201,0.1,1,32,0.603,7.8,619.63,footwear|apparel,2026-05-29~$74~footwear~discount:0.2~returned:0|2026-01-14~$33~footwear~discount:0.25~returned:0|2025-09-02~$92~footwear~discount:0.21~returned:0|2025-04-23~$73~apparel+footwear~discount:0.17~returned:0|2024-12-10~$71~footwear~discount:0.26~returned:0|2024-07-27~$93~footwear~discount:0.22~returned:0,active occasional shopper; strongest interest in footwear; medium price sensitivity; low churn risk,active,medium,occasional,low,Free shipping threshold reminder,days_since_order:32|orders:6|discount_share:0.201|return_rate:0.1|top_category:footwear
C-00019,validation,Victoria,paid-social,none,27,7,542.57,77.51,0.391,0.164,4,97,0.099,3.8,754.17,apparel|recovery,2026-03-23~$77~apparel~discount:0.42~returned:0|2025-12-13~$76~apparel~discount:0.43~returned:0|2025-08-30~$48~apparel~discount:0.38~returned:0|2025-05-25~$66~apparel~discount:0.36~returned:0|2025-02-15~$108~apparel~discount:0.41~returned:0|2024-10-31~$79~apparel~discount:0.37~returned:0,at-risk occasional shopper; strongest interest in apparel; high price sensitivity; high churn risk,at-risk,high,occasional,high,Win-back offer with service recovery,days_since_order:97|orders:7|discount_share:0.391|return_rate:0.164|top_category:apparel
C-00020,test,New South Wales,referral,bronze,2,6,368.97,61.5,0.304,0.059,1,19,0.698,7.7,420.63,jackets|packs|accessories,2026-06-06~$52~jackets~discount:0.35~returned:0|2026-05-28~$78~jackets~discount:0.17~returned:0|2026-05-24~$51~packs~discount:0.31~returned:0|2026-05-16~$49~accessories~discount:0.24~returned:0|2026-05-08~$97~recovery+jackets~discount:0.36~returned:0|2026-05-01~$41~jackets~discount:0.24~returned:0,new frequent shopper; strongest interest in jackets; high price sensitivity; low churn risk,new,high,frequent,low,Second-purchase education sequence,days_since_order:19|orders:6|discount_share:0.304|return_rate:0.059|top_category:jackets
C-00021,train,Tasmania,organic,none,24,14,1243.68,88.83,0.121,0.051,0,24,0.4,7.4,1691.4,recovery|accessories|packs,2026-05-29~$84~camp+recovery~discount:0.16~returned:0|2026-04-11~$97~recovery~discount:0.23~returned:0|2026-02-19~$70~packs~discount:0.09~returned:0|2025-12-27~$55~footwear+recovery~discount:0.13~returned:0|2025-11-05~$120~packs+recovery~discount:0.06~returned:0|2025-09-14~$50~apparel+recovery~discount:0.16~returned:0,active regular shopper; strongest interest in recovery; low price sensitivity; low churn risk,active,low,regular,low,Free shipping threshold reminder,days_since_order:24|orders:14|discount_share:0.121|return_rate:0.051|top_category:recovery
C-00022,train,New South Wales,paid-social,silver,22,9,680.8,75.64,0.267,0.113,1,118,0.191,6.8,912.27,camp|packs|hydration,2026-03-03~$83~packs~discount:0.26~returned:0|2025-12-22~$78~hydration~discount:0.19~returned:0|2025-10-13~$75~camp~discount:0.24~returned:0|2025-08-10~$72~camp~discount:0.22~returned:0|2025-05-28~$80~camp~discount:0.32~returned:0|2025-03-29~$71~camp~discount:0.16~returned:0,at-risk regular shopper; strongest interest in camp; medium price sensitivity; high churn risk,at-risk,medium,regular,high,Win-back offer with service recovery,days_since_order:118|orders:9|discount_share:0.267|return_rate:0.113|top_category:camp
C-00023,train,South Australia,referral,gold,43,23,3957.26,172.05,0.154,0,0,7,0.965,8.8,6133.75,packs|recovery|footwear,2026-06-19~$204~recovery+packs+footwear~discount:0.14~returned:0|2026-05-19~$159~packs~discount:0.15~returned:0|2026-04-19~$180~packs+hydration~discount:0.14~returned:0|2026-03-20~$218~packs+footwear~discount:0.12~returned:0|2026-02-17~$226~hydration+packs+accessories~discount:0.19~returned:0|2026-01-14~$165~packs+accessories~discount:0.14~returned:0,loyal regular shopper; strongest interest in packs; medium price sensitivity; low churn risk,loyal,medium,regular,low,Early access and premium bundle,days_since_order:7|orders:23|discount_share:0.154|return_rate:0|top_category:packs
