date,units_sold,orders,revenue,avg_price,promotion,holiday,temperature,day_of_week
2024-07-01,110,71,12123.1,110.21,1,0,16.6,1
2024-07-02,105,69,11361,108.2,1,0,18.3,2
2024-07-03,111,69,12428.67,111.97,1,0,16.4,3
2024-07-04,116,73,12686.92,109.37,1,0,16.6,4
2024-07-05,91,58,10790.78,118.58,0,0,16,5
2024-07-06,106,67,12696.68,119.78,0,0,17.8,6
2024-07-07,98,64,11557.14,117.93,0,0,14.4,0
2024-07-08,107,65,11930.5,111.5,1,0,13.1,1
2024-07-09,77,50,9276.96,120.48,0,0,14.4,2
2024-07-10,72,47,8590.32,119.31,0,0,19.3,3
2024-07-11,74,47,9156.02,123.73,0,0,16.3,4
2024-07-12,134,86,14753.4,110.1,1,0,16.7,5
2024-07-13,97,56,11416.9,117.7,0,0,18.2,6
2024-07-14,96,55,11694.72,121.82,0,0,19.5,0
2024-07-15,66,42,7879.74,119.39,0,0,17.9,1
2024-07-16,65,42,7746.7,119.18,0,0,16.9,2
2024-07-17,117,73,12733.11,108.83,1,0,23.9,3
2024-07-18,90,59,10655.1,118.39,0,0,18.4,4
2024-07-19,88,58,10233.52,116.29,0,0,17.8,5
2024-07-20,115,71,13353.8,116.12,0,0,17.4,6
2024-07-21,102,65,12059.46,118.23,0,0,19.1,0
2024-07-22,78,51,9026.94,115.73,0,0,20.1,1
2024-07-23,77,49,8881.18,115.34,0,0,19,2
2024-07-24,85,51,10086.1,118.66,0,0,19.6,3
2024-07-25,87,58,9814.47,112.81,0,0,20.6,4
2024-07-26,99,65,11401.83,115.17,0,0,16.8,5
2024-07-27,115,75,13220.4,114.96,0,0,17.8,6
2024-07-28,145,93,15375.8,106.04,1,0,20.2,0
2024-07-29,81,55,9266.4,114.4,0,0,15.4,1
2024-07-30,86,57,10045.66,116.81,0,0,19.1,2
2024-07-31,74,46,8867.42,119.83,0,0,16.8,3
2024-08-01,90,62,10461.6,116.24,0,0,21.4,4
2024-08-02,94,60,11240.52,119.58,0,0,20.4,5
2024-08-03,110,71,13083.4,118.94,0,0,20.6,6
2024-08-04,103,69,12324.98,119.66,0,0,19.2,0
2024-08-05,73,48,8860.01,121.37,0,0,23.5,1
2024-08-06,71,50,8769.92,123.52,0,0,19.8,2
2024-08-07,129,79,14295.78,110.82,1,0,18.2,3
2024-08-08,88,56,10638.32,120.89,0,0,20.4,4
2024-08-09,93,59,11091.18,119.26,0,0,16.9,5
2024-08-10,153,97,16845.3,110.1,1,0,20.3,6
2024-08-11,106,71,12775.12,120.52,0,0,20.6,0
2024-08-12,84,53,10027.08,119.37,0,0,21.5,1
2024-08-13,82,55,9821.14,119.77,0,0,25.4,2
2024-08-14,79,55,9378.09,118.71,0,0,21.1,3
