line_item_id,order_id,customer_id,sku,quantity,item_revenue,category
LI-00000001,O-0000001,C-00001,SKU-0058,1,65.96,apparel
LI-00000002,O-0000002,C-00001,SKU-0048,1,58.67,apparel
LI-00000003,O-0000003,C-00001,SKU-0043,1,77.32,apparel
LI-00000004,O-0000004,C-00001,SKU-0057,1,88.91,apparel
LI-00000005,O-0000005,C-00001,SKU-0050,1,96.21,apparel
LI-00000006,O-0000006,C-00001,SKU-0021,1,84.02,jackets
LI-00000007,O-0000007,C-00001,SKU-0060,1,101.9,apparel
LI-00000008,O-0000008,C-00001,SKU-0007,1,44.33,footwear
LI-00000009,O-0000008,C-00001,SKU-0051,1,49.57,apparel
LI-00000010,O-0000009,C-00001,SKU-0056,1,29.63,apparel
LI-00000011,O-0000009,C-00001,SKU-0070,1,20.75,packs
LI-00000012,O-0000009,C-00001,SKU-0051,1,24.89,apparel
LI-00000013,O-0000010,C-00001,SKU-0047,1,27.96,apparel
LI-00000014,O-0000010,C-00001,SKU-0049,1,39.05,apparel
LI-00000015,O-0000010,C-00001,SKU-0027,1,28.2,jackets
LI-00000016,O-0000011,C-00001,SKU-0112,1,43.08,hydration
LI-00000017,O-0000011,C-00001,SKU-0054,1,51.95,apparel
LI-00000018,O-0000012,C-00001,SKU-0060,1,32.5,apparel
LI-00000019,O-0000012,C-00001,SKU-0043,1,26.04,apparel
LI-00000020,O-0000012,C-00001,SKU-0049,1,34.61,apparel
LI-00000021,O-0000013,C-00001,SKU-0060,1,27.54,apparel
LI-00000022,O-0000013,C-00001,SKU-0046,1,31.01,apparel
LI-00000023,O-0000013,C-00001,SKU-0119,1,39.38,hydration
LI-00000024,O-0000014,C-00002,SKU-0018,2,148.33,footwear
LI-00000025,O-0000015,C-00002,SKU-0118,1,43.43,hydration
LI-00000026,O-0000015,C-00002,SKU-0024,1,40.86,jackets
LI-00000027,O-0000016,C-00002,SKU-0020,1,74.32,footwear
LI-00000028,O-0000016,C-00002,SKU-0017,1,70.53,footwear
LI-00000029,O-0000017,C-00002,SKU-0072,1,53.15,packs
LI-00000030,O-0000017,C-00002,SKU-0122,1,55.74,accessories
LI-00000031,O-0000017,C-00002,SKU-0018,1,54.57,footwear
LI-00000032,O-0000018,C-00002,SKU-0011,1,64.33,footwear
LI-00000033,O-0000018,C-00002,SKU-0012,1,67.09,footwear
LI-00000034,O-0000019,C-00002,SKU-0005,1,150.25,footwear
LI-00000035,O-0000020,C-00002,SKU-0056,1,31.26,apparel
LI-00000036,O-0000020,C-00002,SKU-0009,1,30.83,footwear
LI-00000037,O-0000020,C-00002,SKU-0012,2,25.54,footwear
LI-00000038,O-0000020,C-00002,SKU-0015,1,36,footwear
LI-00000039,O-0000021,C-00002,SKU-0003,1,46.73,footwear
LI-00000040,O-0000021,C-00002,SKU-0002,1,48.04,footwear
LI-00000041,O-0000021,C-00002,SKU-0152,1,35.58,recovery
LI-00000042,O-0000021,C-00002,SKU-0009,1,33.13,footwear
LI-00000043,O-0000021,C-00002,SKU-0094,2,42.5,camp
LI-00000044,O-0000022,C-00002,SKU-0005,2,38.95,footwear
LI-00000045,O-0000022,C-00002,SKU-0008,1,48.71,footwear
LI-00000046,O-0000022,C-00002,SKU-0014,1,42.32,footwear
LI-00000047,O-0000022,C-00002,SKU-0117,1,34.53,hydration
LI-00000048,O-0000022,C-00002,SKU-0004,1,40.04,footwear
LI-00000049,O-0000023,C-00002,SKU-0017,1,42.99,footwear
LI-00000050,O-0000023,C-00002,SKU-0004,1,56.51,footwear
LI-00000051,O-0000023,C-00002,SKU-0023,1,41.6,jackets
LI-00000052,O-0000023,C-00002,SKU-0041,1,56.55,apparel
LI-00000053,O-0000024,C-00002,SKU-0013,1,32.64,footwear
LI-00000054,O-0000024,C-00002,SKU-0003,1,46.21,footwear
LI-00000055,O-0000024,C-00002,SKU-0007,1,45.04,footwear
LI-00000056,O-0000024,C-00002,SKU-0052,1,50.93,apparel
LI-00000057,O-0000024,C-00002,SKU-0046,1,37.27,apparel
LI-00000058,O-0000025,C-00002,SKU-0027,1,52.78,jackets
LI-00000059,O-0000025,C-00002,SKU-0129,1,44.13,accessories
LI-00000060,O-0000025,C-00002,SKU-0139,1,42.87,accessories
LI-00000061,O-0000025,C-00002,SKU-0018,1,52.95,footwear
LI-00000062,O-0000025,C-00002,SKU-0094,1,45.82,camp
LI-00000063,O-0000026,C-00002,SKU-0020,1,70.86,footwear
LI-00000064,O-0000026,C-00002,SKU-0004,2,48.33,footwear
LI-00000065,O-0000026,C-00002,SKU-0005,1,53.81,footwear
LI-00000066,O-0000026,C-00002,SKU-0089,1,56.05,camp
LI-00000067,O-0000027,C-00002,SKU-0072,1,60.67,packs
LI-00000068,O-0000027,C-00002,SKU-0005,1,51.15,footwear
LI-00000069,O-0000027,C-00002,SKU-0155,1,54.46,recovery
LI-00000070,O-0000027,C-00002,SKU-0017,1,56.64,footwear
LI-00000071,O-0000028,C-00002,SKU-0018,2,94.98,footwear
LI-00000072,O-0000028,C-00002,SKU-0117,2,110.71,hydration
LI-00000073,O-0000029,C-00002,SKU-0018,2,52.38,footwear
LI-00000074,O-0000029,C-00002,SKU-0015,1,52.45,footwear
LI-00000075,O-0000029,C-00002,SKU-0024,1,54.43,jackets
LI-00000076,O-0000029,C-00002,SKU-0019,1,43.28,footwear
LI-00000077,O-0000030,C-00002,SKU-0102,1,106.97,hydration
LI-00000078,O-0000030,C-00002,SKU-0004,1,97.37,footwear
LI-00000079,O-0000031,C-00002,SKU-0130,1,52.96,accessories
LI-00000080,O-0000031,C-00002,SKU-0049,1,68.68,apparel
LI-00000081,O-0000031,C-00002,SKU-0006,1,62.94,footwear
LI-00000082,O-0000032,C-00002,SKU-0004,1,58.5,footwear
LI-00000083,O-0000032,C-00002,SKU-0006,1,90.91,footwear
LI-00000084,O-0000033,C-00002,SKU-0014,1,47.78,footwear
LI-00000085,O-0000033,C-00002,SKU-0070,1,44.07,packs
LI-00000086,O-0000033,C-00002,SKU-0013,1,52.23,footwear
LI-00000087,O-0000033,C-00002,SKU-0015,1,48.06,footwear
LI-00000088,O-0000034,C-00002,SKU-0096,1,41.61,camp
LI-00000089,O-0000034,C-00002,SKU-0009,1,49.75,footwear
LI-00000090,O-0000034,C-00002,SKU-0010,1,56.5,footwear
LI-00000091,O-0000034,C-00002,SKU-0013,1,56.72,footwear
LI-00000092,O-0000034,C-00002,SKU-0072,1,52.96,packs
LI-00000093,O-0000035,C-00002,SKU-0010,1,86.89,footwear
LI-00000094,O-0000036,C-00002,SKU-0008,1,48.26,footwear
LI-00000095,O-0000036,C-00002,SKU-0014,1,48.9,footwear
LI-00000096,O-0000037,C-00002,SKU-0029,1,57.16,jackets
LI-00000097,O-0000037,C-00002,SKU-0002,1,42.22,footwear
LI-00000098,O-0000037,C-00002,SKU-0019,1,38.66,footwear
LI-00000099,O-0000038,C-00002,SKU-0012,1,51.58,footwear
LI-00000100,O-0000038,C-00002,SKU-0018,1,46.5,footwear
LI-00000101,O-0000038,C-00002,SKU-0019,1,55.29,footwear
LI-00000102,O-0000038,C-00002,SKU-0111,1,51.55,hydration
LI-00000103,O-0000038,C-00002,SKU-0007,1,51.48,footwear
LI-00000104,O-0000039,C-00002,SKU-0011,1,45.31,footwear
LI-00000105,O-0000039,C-00002,SKU-0009,1,31.37,footwear
LI-00000106,O-0000039,C-00002,SKU-0003,1,30.33,footwear
LI-00000107,O-0000039,C-00002,SKU-0031,1,26.86,jackets
LI-00000108,O-0000040,C-00002,SKU-0005,1,78.95,footwear
LI-00000109,O-0000040,C-00002,SKU-0011,1,66.99,footwear
LI-00000110,O-0000040,C-00002,SKU-0012,1,65.31,footwear
LI-00000111,O-0000041,C-00002,SKU-0152,1,65.62,recovery
LI-00000112,O-0000041,C-00002,SKU-0050,1,66.94,apparel
LI-00000113,O-0000042,C-00002,SKU-0035,1,35.37,jackets
LI-00000114,O-0000042,C-00002,SKU-0006,1,56.73,footwear
LI-00000115,O-0000042,C-00002,SKU-0012,1,35.07,footwear
