order_id,customer_id,order_date,sales_channel,campaign,discount_rate,order_total,items,returned
O-0000001,C-00001,2025-05-05,online,always-on,0.28,65.96,1,0
O-0000002,C-00001,2025-06-03,retail-store,trail-season,0.21,58.67,1,0
O-0000003,C-00001,2025-07-04,retail-store,winter-layering,0.18,77.32,1,0
O-0000004,C-00001,2025-08-08,retail-store,always-on,0.26,88.91,1,0
O-0000005,C-00001,2025-09-07,online,cart-recovery,0.2,96.21,1,0
O-0000006,C-00001,2025-10-08,online,trail-season,0.13,84.02,1,0
O-0000007,C-00001,2025-11-08,online,trail-season,0.19,101.9,1,0
O-0000008,C-00001,2025-12-10,retail-store,winter-layering,0.25,93.91,2,1
O-0000009,C-00001,2026-01-12,online,cart-recovery,0.15,75.27,3,0
O-0000010,C-00001,2026-02-14,online,always-on,0.23,95.21,3,0
O-0000011,C-00001,2026-03-17,online,member-event,0.17,95.03,2,0
O-0000012,C-00001,2026-04-17,online,member-event,0.18,93.15,3,0
O-0000013,C-00001,2026-05-22,online,trail-season,0.16,97.93,3,0
O-0000014,C-00002,2024-07-24,online,trail-season,0.16,148.33,1,0
O-0000015,C-00002,2024-08-21,online,cart-recovery,0.18,84.29,2,0
O-0000016,C-00002,2024-09-11,online,winter-layering,0.21,144.85,2,0
O-0000017,C-00002,2024-10-09,online,member-event,0.27,163.46,3,0
O-0000018,C-00002,2024-10-30,online,cart-recovery,0.24,131.42,2,0
O-0000019,C-00002,2024-11-30,online,winter-layering,0.12,150.25,1,0
O-0000020,C-00002,2024-12-23,online,member-event,0.18,123.63,4,0
O-0000021,C-00002,2025-01-17,online,winter-layering,0.22,205.98,5,0
O-0000022,C-00002,2025-02-07,online,member-event,0.1,204.56,5,0
O-0000023,C-00002,2025-03-03,retail-store,trail-season,0.25,197.65,4,0
O-0000024,C-00002,2025-03-27,retail-store,cart-recovery,0.13,212.09,5,0
O-0000025,C-00002,2025-04-25,online,always-on,0.2,238.55,5,0
O-0000026,C-00002,2025-05-23,retail-store,winter-layering,0.13,229.05,4,0
O-0000027,C-00002,2025-06-13,retail-store,trail-season,0.2,222.91,4,0
O-0000028,C-00002,2025-07-11,online,always-on,0.27,205.69,2,0
O-0000029,C-00002,2025-08-02,online,trail-season,0.15,202.55,4,0
O-0000030,C-00002,2025-08-28,online,winter-layering,0.12,204.34,2,0
O-0000031,C-00002,2025-09-18,retail-store,always-on,0.16,184.59,3,0
O-0000032,C-00002,2025-10-18,online,cart-recovery,0.13,149.41,2,0
O-0000033,C-00002,2025-11-10,online,trail-season,0.15,192.14,4,0
O-0000034,C-00002,2025-12-06,online,cart-recovery,0.13,257.54,5,0
O-0000035,C-00002,2025-12-30,online,always-on,0.21,86.89,1,0
O-0000036,C-00002,2026-01-25,online,winter-layering,0.17,97.16,2,0
O-0000037,C-00002,2026-02-18,retail-store,trail-season,0.26,138.04,3,0
O-0000038,C-00002,2026-03-15,online,member-event,0.11,256.4,5,0
O-0000039,C-00002,2026-04-07,online,member-event,0.09,133.88,4,0
O-0000040,C-00002,2026-05-04,online,trail-season,0.22,211.25,3,1
O-0000041,C-00002,2026-05-30,retail-store,winter-layering,0.09,132.56,2,0
O-0000042,C-00002,2026-06-23,online,cart-recovery,0.16,165.62,4,0
O-0000043,C-00003,2024-07-26,retail-store,cart-recovery,0.07,197.11,4,0
O-0000044,C-00003,2024-09-07,online,winter-layering,0.18,124.7,1,0
O-0000045,C-00003,2024-10-21,online,member-event,0.05,172.64,4,0
O-0000046,C-00003,2024-12-02,online,winter-layering,0.27,130.84,3,0
O-0000047,C-00003,2025-01-12,online,always-on,0.06,172.67,3,0
O-0000048,C-00003,2025-02-25,online,trail-season,0.15,141.41,4,0
O-0000049,C-00003,2025-04-06,retail-store,member-event,0.11,183.19,1,0
O-0000050,C-00003,2025-05-22,online,member-event,0.16,125.06,4,0
O-0000051,C-00003,2025-07-04,online,trail-season,0.13,145.24,1,0
O-0000052,C-00003,2025-08-13,retail-store,cart-recovery,0.14,172.42,3,0
O-0000053,C-00003,2025-09-22,retail-store,always-on,0.13,97.05,1,0
O-0000054,C-00003,2025-11-07,online,winter-layering,0.11,107.1,2,0
O-0000055,C-00003,2025-12-20,online,always-on,0.14,123.84,3,0
O-0000056,C-00003,2026-02-01,online,winter-layering,0.17,125.24,2,0
O-0000057,C-00003,2026-03-13,retail-store,cart-recovery,0.11,129.59,5,0
O-0000058,C-00003,2026-04-26,online,always-on,0.04,101.64,2,0
O-0000059,C-00003,2026-06-08,retail-store,always-on,0.08,115.02,3,0
O-0000060,C-00004,2024-07-28,online,member-event,0.05,79.94,2,1
O-0000061,C-00004,2024-10-22,online,trail-season,0.07,106.16,3,0
O-0000062,C-00004,2025-01-06,retail-store,member-event,0.07,78.41,1,0
O-0000063,C-00004,2025-04-06,online,winter-layering,0.08,77.57,1,0
O-0000064,C-00004,2025-07-02,online,cart-recovery,0.18,90.75,1,0
O-0000065,C-00004,2025-09-23,retail-store,member-event,0.14,89.5,1,0
O-0000066,C-00004,2025-12-17,online,member-event,0.06,77.06,4,0
O-0000067,C-00004,2026-03-08,online,always-on,0.06,78.18,1,0
O-0000068,C-00004,2026-06-04,online,cart-recovery,0.04,83.24,3,0
O-0000069,C-00005,2024-07-29,online,trail-season,0.43,82.38,1,0
O-0000070,C-00005,2024-12-08,online,cart-recovery,0.39,90.36,3,1
O-0000071,C-00005,2025-05-05,online,always-on,0.43,91.22,1,1
O-0000072,C-00005,2025-09-17,online,trail-season,0.41,64.13,1,0
O-0000073,C-00005,2026-02-06,online,always-on,0.46,76.12,1,0
O-0000074,C-00006,2025-12-01,retail-store,winter-layering,0.15,46.79,1,1
O-0000075,C-00006,2026-02-02,online,always-on,0.11,59.77,2,0
O-0000076,C-00006,2026-04-09,retail-store,member-event,0.21,71.9,1,0
O-0000077,C-00006,2026-06-15,online,cart-recovery,0.07,56.04,1,0
